"Category","FileName","OriginalRelativePath","ClassifiedRelativePath"
"01_学生版-讲义","10-1数列：放缩-讲义.pdf","10-1数列：放缩-讲义.pdf","01_学生版-讲义\10-1数列：放缩-讲义.pdf"
"01_学生版-讲义","10-2数列：递推-讲义.pdf","10-2数列：递推-讲义.pdf","01_学生版-讲义\10-2数列：递推-讲义.pdf"
"01_学生版-讲义","10-3数列：特征根-讲义.pdf","10-3数列：特征根-讲义.pdf","01_学生版-讲义\10-3数列：特征根-讲义.pdf"
"01_学生版-讲义","10-4数列：不动点-讲义.pdf","10-4数列：不动点-讲义.pdf","01_学生版-讲义\10-4数列：不动点-讲义.pdf"
"01_学生版-讲义","10-5数列：综合应用-讲义.pdf","10-5数列：综合应用-讲义.pdf","01_学生版-讲义\10-5数列：综合应用-讲义.pdf"
"01_学生版-讲义","11-1复数-讲义.pdf","11-1复数-讲义.pdf","01_学生版-讲义\11-1复数-讲义.pdf"
"01_学生版-讲义","1-1基本不等式-讲义.pdf","1-1基本不等式-讲义.pdf","01_学生版-讲义\1-1基本不等式-讲义.pdf"
"01_学生版-讲义","12-1直线和圆：特殊的圆-讲义.pdf","12-1直线和圆：特殊的圆-讲义.pdf","01_学生版-讲义\12-1直线和圆：特殊的圆-讲义.pdf"
"01_学生版-讲义","12-2直线和圆：数形结合-讲义.pdf","12-2直线和圆：数形结合-讲义.pdf","01_学生版-讲义\12-2直线和圆：数形结合-讲义.pdf"
"01_学生版-讲义","12-3直线和圆：直线系和圆系-讲义.pdf","12-3直线和圆：直线系和圆系-讲义.pdf","01_学生版-讲义\12-3直线和圆：直线系和圆系-讲义.pdf"
"01_学生版-讲义","12-4直线和圆：综合应用-讲义.pdf","12-4直线和圆：综合应用-讲义.pdf","01_学生版-讲义\12-4直线和圆：综合应用-讲义.pdf"
"01_学生版-讲义","13-1圆锥曲线（难点）：定值定点问题-讲义.pdf","13-1圆锥曲线（难点）：定值定点问题-讲义.pdf","01_学生版-讲义\13-1圆锥曲线（难点）：定值定点问题-讲义.pdf"
"01_学生版-讲义","13-2圆锥曲线（难点）：最值问题-讲义.pdf","13-2圆锥曲线（难点）：最值问题-讲义.pdf","01_学生版-讲义\13-2圆锥曲线（难点）：最值问题-讲义.pdf"
"01_学生版-讲义","13-3圆锥曲线（难点）：仿射变换-讲义.pdf","13-3圆锥曲线（难点）：仿射变换-讲义.pdf","01_学生版-讲义\13-3圆锥曲线（难点）：仿射变换-讲义.pdf"
"01_学生版-讲义","13-4圆锥曲线（难点）：极点极线-讲义.pdf","13-4圆锥曲线（难点）：极点极线-讲义.pdf","01_学生版-讲义\13-4圆锥曲线（难点）：极点极线-讲义.pdf"
"01_学生版-讲义","13-5圆锥曲线（难点）：非对称-讲义.pdf","13-5圆锥曲线（难点）：非对称-讲义.pdf","01_学生版-讲义\13-5圆锥曲线（难点）：非对称-讲义.pdf"
"01_学生版-讲义","13-6圆锥曲线（难点）：综合应用-讲义.pdf","13-6圆锥曲线（难点）：综合应用-讲义.pdf","01_学生版-讲义\13-6圆锥曲线（难点）：综合应用-讲义.pdf"
"01_学生版-讲义","14-1圆锥曲线（小题）：第一定义&几何性质-讲义.pdf","14-1圆锥曲线（小题）：第一定义&几何性质-讲义.pdf","01_学生版-讲义\14-1圆锥曲线（小题）：第一定义&几何性质-讲义.pdf"
"01_学生版-讲义","14-2圆锥曲线（小题）：第二定义-讲义.pdf","14-2圆锥曲线（小题）：第二定义-讲义.pdf","01_学生版-讲义\14-2圆锥曲线（小题）：第二定义-讲义.pdf"
"01_学生版-讲义","14-3圆锥曲线（小题）：焦点弦-讲义.pdf","14-3圆锥曲线（小题）：焦点弦-讲义.pdf","01_学生版-讲义\14-3圆锥曲线（小题）：焦点弦-讲义.pdf"
"01_学生版-讲义","14-4圆锥曲线（小题）：新曲线&求轨迹-讲义.pdf","14-4圆锥曲线（小题）：新曲线&求轨迹-讲义.pdf","01_学生版-讲义\14-4圆锥曲线（小题）：新曲线&求轨迹-讲义.pdf"
"01_学生版-讲义","14-5圆锥曲线（小题）：参数方程-讲义.pdf","14-5圆锥曲线（小题）：参数方程-讲义.pdf","01_学生版-讲义\14-5圆锥曲线（小题）：参数方程-讲义.pdf"
"01_学生版-讲义","14-6圆锥曲线（小题）：综合应用-讲义.pdf","14-6圆锥曲线（小题）：综合应用-讲义.pdf","01_学生版-讲义\14-6圆锥曲线（小题）：综合应用-讲义.pdf"
"01_学生版-讲义","15-1概率统计：条件概率-讲义.pdf","15-1概率统计：条件概率-讲义.pdf","01_学生版-讲义\15-1概率统计：条件概率-讲义.pdf"
"01_学生版-讲义","15-2概率统计：递推求概率-讲义.pdf","15-2概率统计：递推求概率-讲义.pdf","01_学生版-讲义\15-2概率统计：递推求概率-讲义.pdf"
"01_学生版-讲义","15-3概率统计：随机过程-讲义.pdf","15-3概率统计：随机过程-讲义.pdf","01_学生版-讲义\15-3概率统计：随机过程-讲义.pdf"
"01_学生版-讲义","15-4概率统计：综合应用-讲义.pdf","15-4概率统计：综合应用-讲义.pdf","01_学生版-讲义\15-4概率统计：综合应用-讲义.pdf"
"01_学生版-讲义","16-1排列组合：基本方法及容斥定理-讲义.pdf","16-1排列组合：基本方法及容斥定理-讲义.pdf","01_学生版-讲义\16-1排列组合：基本方法及容斥定理-讲义.pdf"
"01_学生版-讲义","16-2排列组合：二项式定理-讲义.pdf","16-2排列组合：二项式定理-讲义.pdf","01_学生版-讲义\16-2排列组合：二项式定理-讲义.pdf"
"01_学生版-讲义","16-3排列组合：插板法-讲义.pdf","16-3排列组合：插板法-讲义.pdf","01_学生版-讲义\16-3排列组合：插板法-讲义.pdf"
"01_学生版-讲义","16-4排列组合：综合应用-讲义.pdf","16-4排列组合：综合应用-讲义.pdf","01_学生版-讲义\16-4排列组合：综合应用-讲义.pdf"
"01_学生版-讲义","2-1函数：基本方法-讲义.pdf","2-1函数：基本方法-讲义.pdf","01_学生版-讲义\2-1函数：基本方法-讲义.pdf"
"01_学生版-讲义","2-2函数：对称性进阶-讲义.pdf","2-2函数：对称性进阶-讲义.pdf","01_学生版-讲义\2-2函数：对称性进阶-讲义.pdf"
"01_学生版-讲义","2-3函数：单调性进阶-讲义.pdf","2-3函数：单调性进阶-讲义.pdf","01_学生版-讲义\2-3函数：单调性进阶-讲义.pdf"
"01_学生版-讲义","2-4函数：周期性进阶-讲义.pdf","2-4函数：周期性进阶-讲义.pdf","01_学生版-讲义\2-4函数：周期性进阶-讲义.pdf"
"01_学生版-讲义","2-5函数：抽象函数-讲义.pdf","2-5函数：抽象函数-讲义.pdf","01_学生版-讲义\2-5函数：抽象函数-讲义.pdf"
"01_学生版-讲义","2-6函数：分段函数-讲义.pdf","2-6函数：分段函数-讲义.pdf","01_学生版-讲义\2-6函数：分段函数-讲义.pdf"
"01_学生版-讲义","2-7函数：绝对值的处理-讲义.pdf","2-7函数：绝对值的处理-讲义.pdf","01_学生版-讲义\2-7函数：绝对值的处理-讲义.pdf"
"01_学生版-讲义","2-8函数：新函数的处理-讲义.pdf","2-8函数：新函数的处理-讲义.pdf","01_学生版-讲义\2-8函数：新函数的处理-讲义.pdf"
"01_学生版-讲义","2-9函数：综合应用-讲义.pdf","2-9函数：综合应用-讲义.pdf","01_学生版-讲义\2-9函数：综合应用-讲义.pdf"
"01_学生版-讲义","3-1新定义讲义.pdf","新定义章节电子讲义\3-1新定义讲义.pdf","01_学生版-讲义\3-1新定义讲义.pdf"
"01_学生版-讲义","4-10导数选填：综合应用-讲义.pdf","4-10导数选填：综合应用-讲义.pdf","01_学生版-讲义\4-10导数选填：综合应用-讲义.pdf"
"01_学生版-讲义","4-1导数选填：基本方法1-讲义.pdf","4-1导数选填：基本方法1-讲义.pdf","01_学生版-讲义\4-1导数选填：基本方法1-讲义.pdf"
"01_学生版-讲义","4-2导数选填：基本方法2-讲义.pdf","4-2导数选填：基本方法2-讲义.pdf","01_学生版-讲义\4-2导数选填：基本方法2-讲义.pdf"
"01_学生版-讲义","4-3导数选填：切线.pdf","4-3导数选填：切线.pdf","01_学生版-讲义\4-3导数选填：切线.pdf"
"01_学生版-讲义","4-4导数选填：整数解-讲义.pdf","4-4导数选填：整数解-讲义.pdf","01_学生版-讲义\4-4导数选填：整数解-讲义.pdf"
"01_学生版-讲义","4-5导数选填：换元-讲义.pdf","4-5导数选填：换元-讲义.pdf","01_学生版-讲义\4-5导数选填：换元-讲义.pdf"
"01_学生版-讲义","4-6导数选填：构造函数-讲义.pdf","4-6导数选填：构造函数-讲义.pdf","01_学生版-讲义\4-6导数选填：构造函数-讲义.pdf"
"01_学生版-讲义","4-7导数选填：三次函数-讲义.pdf","4-7导数选填：三次函数-讲义.pdf","01_学生版-讲义\4-7导数选填：三次函数-讲义.pdf"
"01_学生版-讲义","4-8导数选填：凹凸性-讲义.pdf","4-8导数选填：凹凸性-讲义.pdf","01_学生版-讲义\4-8导数选填：凹凸性-讲义.pdf"
"01_学生版-讲义","4-9导数选填：新定义-讲义.pdf","4-9导数选填：新定义-讲义.pdf","01_学生版-讲义\4-9导数选填：新定义-讲义.pdf"
"01_学生版-讲义","5-10导数大题：新定义-讲义.pdf","5-10导数大题：新定义-讲义.pdf","01_学生版-讲义\5-10导数大题：新定义-讲义.pdf"
"01_学生版-讲义","5-11导数大题：综合应用-讲义.pdf","5-11导数大题：综合应用-讲义.pdf","01_学生版-讲义\5-11导数大题：综合应用-讲义.pdf"
"01_学生版-讲义","5-1导数大题：基本方法1-讲义.pdf","5-1导数大题：基本方法1-讲义.pdf","01_学生版-讲义\5-1导数大题：基本方法1-讲义.pdf"
"01_学生版-讲义","5-2导数大题：基本方法2-讲义.pdf","5-2导数大题：基本方法2-讲义.pdf","01_学生版-讲义\5-2导数大题：基本方法2-讲义.pdf"
"01_学生版-讲义","5-3导数大题：端点效应&内点效应-讲义.pdf","5-3导数大题：端点效应&内点效应-讲义.pdf","01_学生版-讲义\5-3导数大题：端点效应&内点效应-讲义.pdf"
"01_学生版-讲义","5-4导数大题：多变量多参数-讲义.pdf","5-4导数大题：多变量多参数-讲义.pdf","01_学生版-讲义\5-4导数大题：多变量多参数-讲义.pdf"
"01_学生版-讲义","5-5导数大题：凹凸性-讲义.pdf","5-5导数大题：凹凸性-讲义.pdf","01_学生版-讲义\5-5导数大题：凹凸性-讲义.pdf"
"01_学生版-讲义","5-6导数大题：导数与三角函数-讲义.pdf","5-6导数大题：导数与三角函数-讲义.pdf","01_学生版-讲义\5-6导数大题：导数与三角函数-讲义.pdf"
"01_学生版-讲义","5-7导数大题：导数与数列-讲义.pdf","5-7导数大题：导数与数列-讲义.pdf","01_学生版-讲义\5-7导数大题：导数与数列-讲义.pdf"
"01_学生版-讲义","5-8导数大题：高等背景-讲义.pdf","5-8导数大题：高等背景-讲义.pdf","01_学生版-讲义\5-8导数大题：高等背景-讲义.pdf"
"01_学生版-讲义","5-9导数大题：极值点偏移-讲义.pdf","5-9导数大题：极值点偏移-讲义.pdf","01_学生版-讲义\5-9导数大题：极值点偏移-讲义.pdf"
"01_学生版-讲义","6-1三角函数：图像-讲义.pdf","6-1三角函数：图像-讲义.pdf","01_学生版-讲义\6-1三角函数：图像-讲义.pdf"
"01_学生版-讲义","6-2三角函数：w的取值范围-讲义.pdf","6-2三角函数：w的取值范围-讲义.pdf","01_学生版-讲义\6-2三角函数：w的取值范围-讲义.pdf"
"01_学生版-讲义","6-3三角函数：三角恒等变换-讲义.pdf","6-3三角函数：三角恒等变换-讲义.pdf","01_学生版-讲义\6-3三角函数：三角恒等变换-讲义.pdf"
"01_学生版-讲义","6-4三角函数：综合应用-讲义.pdf","6-4三角函数：综合应用-讲义.pdf","01_学生版-讲义\6-4三角函数：综合应用-讲义.pdf"
"01_学生版-讲义","7-1解三角形：基本方法（边角互化）-讲义.pdf","7-1解三角形：基本方法（边角互化）-讲义.pdf","01_学生版-讲义\7-1解三角形：基本方法（边角互化）-讲义.pdf"
"01_学生版-讲义","7-2解三角形：几何性质、四心相关-讲义.pdf","7-2解三角形：几何性质、四心相关-讲义.pdf","01_学生版-讲义\7-2解三角形：几何性质、四心相关-讲义.pdf"
"01_学生版-讲义","7-3解三角形：四边形或多三角形-讲义.pdf","7-3解三角形：四边形或多三角形-讲义.pdf","01_学生版-讲义\7-3解三角形：四边形或多三角形-讲义.pdf"
"01_学生版-讲义","7-4解三角形：三角形中的恒等式-讲义.pdf","7-4解三角形：三角形中的恒等式-讲义.pdf","01_学生版-讲义\7-4解三角形：三角形中的恒等式-讲义.pdf"
"01_学生版-讲义","7-5解三角形：综合应用-讲义.pdf","7-5解三角形：综合应用-讲义.pdf","01_学生版-讲义\7-5解三角形：综合应用-讲义.pdf"
"01_学生版-讲义","8-1向量-讲义.pdf","8-1向量-讲义.pdf","01_学生版-讲义\8-1向量-讲义.pdf"
"01_学生版-讲义","9-1立体几何：轨迹与最值-讲义.pdf","9-1立体几何：轨迹与最值-讲义.pdf","01_学生版-讲义\9-1立体几何：轨迹与最值-讲义.pdf"
"01_学生版-讲义","9-2立体几何：翻折-讲义.pdf","9-2立体几何：翻折-讲义.pdf","01_学生版-讲义\9-2立体几何：翻折-讲义.pdf"
"01_学生版-讲义","9-3立体几何：外接球-讲义.pdf","9-3立体几何：外接球-讲义.pdf","01_学生版-讲义\9-3立体几何：外接球-讲义.pdf"
"01_学生版-讲义","9-4立体几何：内切球-讲义.pdf","9-4立体几何：内切球-讲义.pdf","01_学生版-讲义\9-4立体几何：内切球-讲义.pdf"
"01_学生版-讲义","9-5立体几何：截面问题-讲义.pdf","9-5立体几何：截面问题-讲义.pdf","01_学生版-讲义\9-5立体几何：截面问题-讲义.pdf"
"01_学生版-讲义","9-6立体几何：综合应用-讲义.pdf","9-6立体几何：综合应用-讲义.pdf","01_学生版-讲义\9-6立体几何：综合应用-讲义.pdf"
"02_教师版-板书","10-1数列：放缩-板书.pdf","10-1数列：放缩-板书.pdf","02_教师版-板书\10-1数列：放缩-板书.pdf"
"02_教师版-板书","10-2数列：递推-板书.pdf","10-2数列：递推-板书.pdf","02_教师版-板书\10-2数列：递推-板书.pdf"
"02_教师版-板书","10-3数列：特征根-板书.pdf","10-3数列：特征根-板书.pdf","02_教师版-板书\10-3数列：特征根-板书.pdf"
"02_教师版-板书","10-4数列：不动点-板书.pdf","10-4数列：不动点-板书.pdf","02_教师版-板书\10-4数列：不动点-板书.pdf"
"02_教师版-板书","10-5数列：综合应用-板书.pdf","10-5数列：综合应用-板书.pdf","02_教师版-板书\10-5数列：综合应用-板书.pdf"
"02_教师版-板书","11-1复数-板书.pdf","11-1复数-板书.pdf","02_教师版-板书\11-1复数-板书.pdf"
"02_教师版-板书","1-1基本不等式-例题板书.pdf","1-1基本不等式-例题板书.pdf","02_教师版-板书\1-1基本不等式-例题板书.pdf"
"02_教师版-板书","12-1直线和圆：特殊的圆-板书.pdf","12-1直线和圆：特殊的圆-板书.pdf","02_教师版-板书\12-1直线和圆：特殊的圆-板书.pdf"
"02_教师版-板书","12-2直线和圆：数形结合-板书.pdf","12-2直线和圆：数形结合-板书.pdf","02_教师版-板书\12-2直线和圆：数形结合-板书.pdf"
"02_教师版-板书","12-3直线和圆：直线系和圆系-板书.pdf","12-3直线和圆：直线系和圆系-板书.pdf","02_教师版-板书\12-3直线和圆：直线系和圆系-板书.pdf"
"02_教师版-板书","12-4直线和圆：综合应用-板书.pdf","12-4直线和圆：综合应用-板书.pdf","02_教师版-板书\12-4直线和圆：综合应用-板书.pdf"
"02_教师版-板书","13-1 圆锥曲线（难点）：定值定点问题-板书.pdf","13-1 圆锥曲线（难点）：定值定点问题-板书.pdf","02_教师版-板书\13-1 圆锥曲线（难点）：定值定点问题-板书.pdf"
"02_教师版-板书","13-2 圆锥曲线（难点）：最值问题-板书.pdf","13-2 圆锥曲线（难点）：最值问题-板书.pdf","02_教师版-板书\13-2 圆锥曲线（难点）：最值问题-板书.pdf"
"02_教师版-板书","13-3 圆锥曲线（难点）：仿射变换-板书.pdf","13-3 圆锥曲线（难点）：仿射变换-板书.pdf","02_教师版-板书\13-3 圆锥曲线（难点）：仿射变换-板书.pdf"
"02_教师版-板书","13-4 圆锥曲线（难点）：极点极线-板书.pdf","13-4 圆锥曲线（难点）：极点极线-板书.pdf","02_教师版-板书\13-4 圆锥曲线（难点）：极点极线-板书.pdf"
"02_教师版-板书","13-5 圆锥曲线（难点）：非对称-板书.pdf","13-5 圆锥曲线（难点）：非对称-板书.pdf","02_教师版-板书\13-5 圆锥曲线（难点）：非对称-板书.pdf"
"02_教师版-板书","13-6圆锥曲线（难点）：综合应用-板书.pdf","13-6圆锥曲线（难点）：综合应用-板书.pdf","02_教师版-板书\13-6圆锥曲线（难点）：综合应用-板书.pdf"
"02_教师版-板书","14-1圆锥曲线（小题）：第一定义&几何性质-板书.pdf","14-1圆锥曲线（小题）：第一定义&几何性质-板书.pdf","02_教师版-板书\14-1圆锥曲线（小题）：第一定义&几何性质-板书.pdf"
"02_教师版-板书","14-2圆锥曲线（小题）：第二定义-板书.pdf","14-2圆锥曲线（小题）：第二定义-板书.pdf","02_教师版-板书\14-2圆锥曲线（小题）：第二定义-板书.pdf"
"02_教师版-板书","14-3圆锥曲线（小题）：焦点弦-板书.pdf","14-3圆锥曲线（小题）：焦点弦-板书.pdf","02_教师版-板书\14-3圆锥曲线（小题）：焦点弦-板书.pdf"
"02_教师版-板书","14-4圆锥曲线（小题）：新曲线&求轨迹-板书.pdf","14-4圆锥曲线（小题）：新曲线&求轨迹-板书.pdf","02_教师版-板书\14-4圆锥曲线（小题）：新曲线&求轨迹-板书.pdf"
"02_教师版-板书","14-5圆锥曲线（小题）：参数方程-板书.pdf","14-5圆锥曲线（小题）：参数方程-板书.pdf","02_教师版-板书\14-5圆锥曲线（小题）：参数方程-板书.pdf"
"02_教师版-板书","14-6圆锥曲线（小题）：综合应用-板书.pdf","14-6圆锥曲线（小题）：综合应用-板书.pdf","02_教师版-板书\14-6圆锥曲线（小题）：综合应用-板书.pdf"
"02_教师版-板书","15-1概率统计：条件概率-板书.pdf","15-1概率统计：条件概率-板书.pdf","02_教师版-板书\15-1概率统计：条件概率-板书.pdf"
"02_教师版-板书","15-3概率统计：随机过程-板书.pdf","15-3概率统计：随机过程-板书.pdf","02_教师版-板书\15-3概率统计：随机过程-板书.pdf"
"02_教师版-板书","15-4概率统计：综合应用-板书.pdf","15-4概率统计：综合应用-板书.pdf","02_教师版-板书\15-4概率统计：综合应用-板书.pdf"
"02_教师版-板书","16-1排列组合：基本方法及容斥定理-板书.pdf","16-1排列组合：基本方法及容斥定理-板书.pdf","02_教师版-板书\16-1排列组合：基本方法及容斥定理-板书.pdf"
"02_教师版-板书","16-2排列组合：二项式定理-板书.pdf","16-2排列组合：二项式定理-板书.pdf","02_教师版-板书\16-2排列组合：二项式定理-板书.pdf"
"02_教师版-板书","16-3排列组合：插板法-板书.pdf","16-3排列组合：插板法-板书.pdf","02_教师版-板书\16-3排列组合：插板法-板书.pdf"
"02_教师版-板书","16-4排列组合：综合应用-板书.pdf","16-4排列组合：综合应用-板书.pdf","02_教师版-板书\16-4排列组合：综合应用-板书.pdf"
"02_教师版-板书","20241214直播答疑+T8.pdf","直播回放板书合集\20241214直播答疑+T8.pdf","02_教师版-板书\20241214直播答疑+T8.pdf"
"02_教师版-板书","20250208直播板书.pdf","直播回放板书合集\20250208直播板书.pdf","02_教师版-板书\20250208直播板书.pdf"
"02_教师版-板书","20250215直播板书.pdf","直播回放板书合集\20250215直播板书.pdf","02_教师版-板书\20250215直播板书.pdf"
"02_教师版-板书","20250222直播板书.pdf","直播回放板书合集\20250222直播板书.pdf","02_教师版-板书\20250222直播板书.pdf"
"02_教师版-板书","20250322直播精讲板书.pdf","直播回放板书合集\20250322直播精讲板书.pdf","02_教师版-板书\20250322直播精讲板书.pdf"
"02_教师版-板书","2-1函数：基本方法-例题板书.pdf","2-1函数：基本方法-例题板书.pdf","02_教师版-板书\2-1函数：基本方法-例题板书.pdf"
"02_教师版-板书","2-2函数：对称性进阶-板书.pdf","2-2函数：对称性进阶-板书.pdf","02_教师版-板书\2-2函数：对称性进阶-板书.pdf"
"02_教师版-板书","2-3函数：单调性进阶-板书.pdf","2-3函数：单调性进阶-板书.pdf","02_教师版-板书\2-3函数：单调性进阶-板书.pdf"
"02_教师版-板书","2-4函数：周期性进阶-板书.pdf","2-4函数：周期性进阶-板书.pdf","02_教师版-板书\2-4函数：周期性进阶-板书.pdf"
"02_教师版-板书","2-5函数：抽象函数-板书.pdf","2-5函数：抽象函数-板书.pdf","02_教师版-板书\2-5函数：抽象函数-板书.pdf"
"02_教师版-板书","2-6函数：分段函数-板书.pdf","2-6函数：分段函数-板书.pdf","02_教师版-板书\2-6函数：分段函数-板书.pdf"
"02_教师版-板书","2-7函数：绝对值的处理-板书.pdf","2-7函数：绝对值的处理-板书.pdf","02_教师版-板书\2-7函数：绝对值的处理-板书.pdf"
"02_教师版-板书","2-8函数：新函数的处理-板书.pdf","2-8函数：新函数的处理-板书.pdf","02_教师版-板书\2-8函数：新函数的处理-板书.pdf"
"02_教师版-板书","2-9函数：综合应用-板书.pdf","2-9函数：综合应用-板书.pdf","02_教师版-板书\2-9函数：综合应用-板书.pdf"
